@RELATION iris

@ATTRIBUTE Text STRING
@ATTRIBUTE class {0,1}

@DATA
'הכרטיס של הדלת לא עבד לקח הרבה זמן עד שבאו לפתוח את הדלת ולא אדיבים בקבלה' ,0
'קיון החדר היה קצת טעון שיפור הקירות היו מלוכלכים והיה קצת לכלוך על  השידות החסרון היחידי של המלון הזה שהוא די רחוק מהמרכז הליכה לתחנת מטרו  הקרובה היא 10  15 דקות מהמלון אוטובוסים לא עוברים שם אז רק ברגל' ,0
'אפשר לצאת מחוץ למלון לחצות את הגשר ולהגיע למקומות פסטורליים מדהימים עם טבע מאוד יפה  בקומה 19 יש מרפסת די גדולה לעישון  ממליצים על המלון הזה למרות המרחק מהמרכז עדיין שווה ביותר' ,1
'רמת הנקיון היתה ירודה  החליפו מצעים אחרי 4 לילות ןרק אחרי שהתלוננו' ,0
'מקום מורחקהמקלחת באמצע החדר הרעיון הוא טוב  רומנטי אפשר 2 להתקלחאבל החימום לא עובד כמו שצריך  מאד צר הכל אין מקום לזוז  אין אפשרות לפתוח חלון שירות מאוד מעצבן' ,0
'3 דקות הליכה מתחנת הרכבת ואפשר לקחת רכבת עם נסיעה של 6 דקות ממרכז אמסטרדם  אפשר גם לקחת אוטובוס מאותה תחנה שעובד 24 שעות ביום כל יום ותוך 20 דקות נמצאים במרכז  יש פינת קפה ושוקו חינם לכולם וצוות מצויין מלון נקי מאוד ובאזור שקט ונעים' ,1
'הכול היה מעולה לאלה שלא מפונקים נסיעה בטראםאוטובוס למרכז מאוד מהנה 20ד' ,1
'מלון היה מעולה נראה חדש נקי אווירה טובה מאוד קרוב מאוד לתחנת רכבת ובמרחק תחנה אחת ברכבת לאמסטרדם סנטרל ארוחות הבוקר היו מעולות' ,1
'ממליצה בחום על המלון 5 דקות הליכה מתחנת הרכבת ומשם 5 דקות נסיעה למרכז אמסטרדם  תחנה אחת  ארוחת הבוקר הייתה טובה מאוד' ,1
'מארחים אדיבים  מיקום בהחלט מעולה חמש דקות מתחנה של טראם  נהנו וחוזרים לשם בעוד 3 ימים לסיבוב שני' ,1
'מלון במיקום מצוין  5 דקות הליכה מתחנת רכבת  משם תחנה אחת בלבד לתחנה מרכזית אמסטרדם 5 דקות נסיעה  מלון שקט  מעוצב להפליא  בר שפתוח בערב ועוד  הצוות נעים ועוזר בכל דבר  תמורה טובה למחיר' ,1
'מלון מצוין נקי מסודר צוות מקסים ויעיל פינוקים חלוקי אמבטיה נעלי בית סבונים קטנים קפהתה 24 שעות ביממה ממוקם מול תחנת הרכבתאוטובוסיםטראם מרחק 15 דקות ממרכז העיר' ,1
'ארוחת הבוקר טובה ומגוונת קפה חופשי ועוגות לאורך כל היום לובי נעים ומרווח תחבורה נוחה למרכז אמסטרדם ע"י רכבת' ,1
'אומנם המרחק נסיעה מהמלון למרכז העיר הוא 5 דקות אבל הטרטור בלנסוע ברכבת והעלויות המטורפות של כל נסיעה לא מצדיקים מלון לא מרכזי מאוד לא נח בפעם הבאה שלנו אנחנו נזמין מלון מרכזי' ,0
'המלון מעוצב מקסים אווירה אינטימית ונעימה החדרים מרווחים ומקסימים הצוות אדיב  היה תענוג' ,1
'צוות האירוח היה מדהים עזרו לי בכל שאלה גם כשהיו בעיות אישיות הסכימו לעשות בשבילי שיחות טלפון שהייתי אמור לעשות בעצמי מצוינים' ,1
'הצוות מאוד נחמד  החדר נקי מאוד  יש קפה ותה חופשי בלובי קרוב לתחנת הרכבת ואוטובוסים' ,1
'לא ניקו את החדר בזמן השהיה במלון צק אין מאוחר בשעה 15 במקום 14 מאוד מאכזב לא נחזור לשם' ,0
'יקר יחסית למיקום שאינו במרכז העיר אומנם רק 10 דקות נסיעה ברכבת משדה התעופה וכן דקות ספורות במטרו למרכז העיר אך עדיין פחות נוח וחוויתי מאשר מלון במרכז אמסטרדם' ,0
'למלון שתי מעליות אבל בתקופת השהות שלנו שבעה לילות פעלה מעלית אחת בלבד משום מה לא מחליפים מצעים בכל יום המלון מרוחק מהתחנה המרכזית מאוד מעייף לנסוע כל כך הרבה' ,0
'מלון חדש חדרים נעימים יש חיבור USB ליד המיטה צוות אדיב ארוחת בוקר טובה' ,1
'המחיר כלפי המיקוםאין שום דבר ליד המלון חוץ מתחנת הרכבת  במסעדת המלון אוכל נוראי' ,0
'כריות לא נוחות בכלל   כרטסי מגנטים של הדלתות מאבדות תקשורת   התאורה בשרותים נכבת כל רגע חיישן תנועה  המזגן בחדר בעיתי' ,0
'מלון יפה מאוד ומסודר  מיקום שקט  חדר מטופח ונקי   נוף יפה' ,1
'המלון מנותק ורחוק ממרכז העיר ונמצא בין מפעלים תעשייתים אין סופרמרקט באזור שירות לא אדיב כלכך ובאופן ולובי מאוד קטן' ,0
'ארוחת בוקר לא מספקת בכלל  ארוחת הבוקר הייתה דלה ולא מספקת  ארוחת הבוקר ביום האחרון בעיקר לא כללה  ממש כלום לא היו ירקות בכלל לא היו פירות  בקיצור אנחנו מטיילים הרבה בעולם ויודעים  איך מורכבת ארוחת הבוקר באירופה אולם  במלון זה הארוחות היו דלות ביותר  לתשומת לבכם' ,0
'לא היה ארון בחדר לשים את הבגדים  ארוחת בוקר לא להיט' ,0
'מקום מעולה מיקום מעולה צוות מדהים אירוח פשוט מושלם' ,1
'לא שמו לנו סבון ידיים מדרגות צרות ומשפעות מאד כנהוג באמסטרדם לא החליפו מצעים שלושה ימים ברצף מאוד מאכזב' ,0
'מיטה מאוד גדולה ונוחה WiFi פשוט מעולה מיקום המלון טוב למדיי ארוכת בוקר מספיק מגווונת צוות אדיב' ,1
'מלון במיקום ממש מרכזי צמוד למקום שכולם מצטלמים בו I am amstedam    דקה מהקזינו ומהעיר  צוות ממש נחמד דאג לנו לכל מה שהיינו צריכים גם לכרטיסים למשחק של AJAX' ,1
'החדרים קטנים צריך לשים לב  לא כל החדרים זהים בגודלם וכך גם חדר הרחצה  חסרו בארוחת הבוקר ירקות' ,0
'צוות אדיב וסבלן עזרו בהזמנת כרטיסים למוזאונים וסיפקו מיידע באדיבות  המקום ממוקם ממש במרכז  2 דקות הליכה ממוזיאון ואן גוך ורייקסמיוזיאם  קרוב לחנויות ומסעדות והכל בהליכה קצרה  המלון מעוצב בסגנון וינטאג׳ מודרנינחמד??  החדרים מאד קטנים אבל נקיים והמיטות  נוחות  בארוחת הבוקר היו גבינות טובות ומבחר לחמים' ,1
'ארוחת בוקר מצויינת ומגוונת מיקום מצוין ומרכזי נגיש למוזיאונים כיכר מקסימה קווי טראם לכל מקום מלון נקי מעוצב יפה נחזור שנית' ,1
'מלון יפייפה עם צוות מדהים שזמין לכל בקשה מיקום מרכזי ונוח ממליצה בחום' ,1
'המלון מעוצב מאוד יפה מלון בוטיק שיקי  הצוות תמיד עוזר   החדרים קטנים אבל תמיד נקיים ויחסית לגודל של החדרים באמסטרדם הם בגודל סביר ויש מקום לפתוח מזוודות ואפילו לזוז  מיקום טוב רבע שעה הליכה למרכז מתאים לפעם שניה באמסטרדם לא לפעם ראשונה לפעם ראשונה עדיף במרכז  ארוחת בוקר חביבה מאוד' ,1
'החדר היה מאוד מאוד קטן בקושי היה מקום לזוז בנוסף המיקום שלו היה בעייתי  תת קרקעי כך שלא נכנס לנו בכלל אור יום לחדר והיה קשה מאוד להתעורר בבוקר לא היה נוף בכלל החלון פנה למחסנים של המלון  בנוסף הבידוד בין החדרים לא היה טוב שמענו כל הזמן רעשים מהמסדרון ומהחדרים הקרובים אלינו   ארוחת הבוקר הייתה סבירה ביותר ירקות מעט גבינות ולחם היה מקום מעט לגוון יותר' ,0
'צוות המלון מאוד אדיב ושמח לעזור מיקום המלון מצוין מיקום שקט אך עדיין מרכזי שקרוב לתחבורה ציבורית לכל מקום בעיר מרחק הליכה מהוונדלפארק חדרים נקיים' ,1
'ארוחת בוקר מספקת חדרים נוחים ונקיים צוות אדיב  מומלץ' ,1
'שהיינו שני לילות המיקום מעולה החדר היה מעט צפוף לשלושה אבל הסתדרנו צוות נחמד מאוד' ,1
'בכניסה למלון כ 10 מדרגות  אנחנו ישנו בחדר קטן בידיעה מראש  החדר היה ארוך ולא הייתה בעיה מבחינת המזוודות אבל המרחק בין המיטות צר מאוד התמונה המופיעה אינה מטעה וחדר השירותים מקלחת קטן' ,0
'הגענו מוקדם מאוד ובכל זאת קיבלנו חדר ארוחת הבוקר הייתה מספקת וכללה ירקות ופירות לא מובן מאליו  הצוות ענה ברצון על כל שאלה וסיפק הסברים כשנתבקש  במקלחת היו מים חמים מאוד בכל שעה  במרחק כמה דקות הליכה מצויים המוזיאונים העיקריים ואוטובוס לשדה התעופה 5 EUR  גם למרכז אמסטרדם הגענו ברגל אם כי הוא קצת מרוחק  החדר היה בסיסי אבל נקי' ,1
'החימום בחדר לא ממש ממש חם לכן היה די קרמי שרוצה מזגן על חימום חזק עלול להתאכזב השירות לא אדיב ולא החליפו לנו מגבות פעמיים בקיצור לא מומלץ' ,0
'חדרים יפים מאוד ומאובזרים היטביוקרה אמיתיתלא עוד מלון אירופאי רגיל' ,1
'המזרנים וכריות היו לא נוחים מזרנים עם שיפוע גדול וכריות פחות כייפיית' ,0
'ארוחת בוקר מעולה  יחס הצוות נפלא  ניקיון ברמה גבוה' ,1
'סדינים לא הוחלפו רק יושרו  אין אור במרפסת  חלוק מגבת משומש הורם מהריצפה ונתלה על הקולב  חדר המבוא למעלית היה מצחין  חייבו את כרטיס האשראי שלי לפני הגעתי ומבלי שנתבקשה רשותי הדבר פלילי בעיקר כאשר באתר צויין כי הכרטיס הוא רק לביטחון  ארוחת הבוקר גרועה ממש' ,0
'החדר עם המרפסת היה נהדר   אך חבל שאין אור במרפסת הזאת  מקלחת טובה ארוחת בוקר נפלאה ועשירה' ,1
'מלון רחוק נמצא בשכונת מגורים חדרים קטנים עם קורי עכביש לא ברור איך הוא 4 כוכבים מאכזב' ,0
'חדר קטן מאוד ולא תואם את הפרסום במלון לא תואם למלון ברמת 4 כוכבים  ארוחת בוקר גרועה ולא אכילה פשוט גועל נפש' ,0
'מיקום מרכזי ונח עובדים אדיבים ונחמדים מקלחות טובות וחדרים מרווחים ונקיים' ,1
'היה לנו מעט קר יולי באמסטרדם מסתבר שיכול להיות קררר ולא היה ניתן לחמם כי ההסקה המרכזית כבויה בקיץ  המיקום של המלון לא מרכזי כלל אבל במרחק 5 דק הליכה מתחנת רכבת וטרם  נסיעה של 8 דקות למרכב העיר לא אהבנו את החדר היה מאוד צפוף ולא כמו בתמונות אכזבה קלה' ,0
'מלון נקי נעים מעוצב ממש נחמד ופונקציונאלי חדר הרחצה היה בתוך החדר יש חדרים עם חרחצה מול החדר פרטי לחלוטין אך לא בפנים  הצוות מקסים עוזר וידידותי  ארוחת בוקר עלתה 7 יורו והיתה שווה כל שקל  ובלי קשר לרווחת השוהים יש מכונת קפהמצויידת לגמרי  כל הסוגים ותיונים וכו חטיפים ממרחים ופירות טריים ללא תשלום 24 שעות  ניקו את החדר כל יום' ,1
'מקום נקי ושקט החדרים גדולים והמיטות נוחות קרוב לתחנת רכבת לא רחוק מהמרכז בקיצור אחלה בית מלון ביחס למחיר' ,1
'ארוחת בוקר מצוינת עד 11    ונדרשת כי אין באיזור שום מסעדות או בתי קפה הליכה של עשר דק לרכבת תחנה אחת מהמרכז  אם אתם שניים אפשר לקחת מנית מהובר מחיר זהה   החדר מרווח אינטרנט מצוין' ,1
'עיצוב מדליק חדר זוגי בגודל מצויין היה מספיק מקום להכלאחלה ארוחת בוקר ובאופן כללי אווירה מאוד טובה' ,1
'אווירה נעימה מאוד צוות גדול נעים ומועיל חדר מאובזר וארוחת בוקר מעולה' ,1
'הצוות ידידותי ואדיב מאוד   מיקום מצויין אזור שקט   אינטימי  נקי    כול מה שצריך לחופשה קצרה באמסטרדם   לא למפונקים' ,1
'מלון נקי נעים מעוצב ממש נחמד ופונקציונאלי חדר הרחצה היה בתוך החדר יש חדרים עם חרחצה מול החדר פרטי לחלוטין אך לא בפנים  הצוות מקסים עוזר וידידותי  ארוחת בוקר עלתה 7 יורו והיתה שווה כל שקל  ובלי קשר לרווחת השוהים יש מכונת קפהמצויידת לגמרי  כל הסוגים ותיונים וכו חטיפים ממרחים ופירות טריים ללא תשלום 24 שעות  ניקו את החדר כל יום' ,1
'מלון מומלץ ביותר מיקום טוב שקט ועם זאת שתי תחנות רכבת מהמרכז מומלץ להשתנע ברכבת ארוחת בוקר טובה והצוותצוות פשוט נפלא יוצא מגדרו על מנת לעזור לא נתקלנו בשירות כזה נעים ומסביר פנים אף אחד פעם וטיילנו רבות' ,1
'הצוות היה אדיב ומצחיק חברותי ותמיד מוכן לעזור תהליך הצ׳ק איןאאוט היה מהיר אפילו בשלוש וחצי בבוקר תמורה מדהימה למחיר יש במלון הסכם שנותן בירותפיצה בתמורה לוויתור על ניקיון החדר לטובת איכות הסביבה חסכני ועוזר מאוד כלכלית המקלחת בחדר נפרד בחלק מהחדרים אך היא קרובה לחדר ופרטית לגמרי נוח מאוד ולא מפריע  בסך הכל מקום מדהים' ,1
'היינו במלון כ4 לילות  מלון נקי מסודר צוות נפלא חדר גדול ומרווח  קרוב מאוד לתחנת רכבת נמצא תחנה אחת בלבד מאמסטרדם סנטל שהינו התחנה המרכזית של אמסטרדם מומלץ בחום' ,1
'מקום מעולה למחיר קרוב לתחנת הרכבת שמגיעה לכל מקום באמסטרדם ונמצאת תחנה אחת בלבד מהסנטרל ממליצה בחום' ,1
'במלון אין מעלית מלון סה"כ 2 קמות  אם אתם אם ילדים או עם עגלה חושב לבקש את קומת הקרקע ארוחת בוקר לא טובה ומאוד דלה לא מומלץ' ,0
'סה"כ המלון טוב אין תלונות  כ 20 דקות נסיעה בטראם ממרכז העיר  תחנת רכבת נמצאת כ 5 דקות הליכה מהמלון  ארוחת בוקר סבירה ביותר  מקום מאוד נקי  מנקים את החדרים כל יום  מי שמגיע עם רכב יש חניה ליד בחינם משבע בערב עד 9 בבוקר' ,1
'רחוק בלי מזגן ניקוי חרא אסור לעשן בחדרהחלון סגור עם ברגים' ,0
'פעם שניה שאני מבקר באמסטרדם ובמלון שלכם המארחים היו אדיבים מאוד לכל בקשה קיבלנו מענה מהיר ללא שום בעיה תודה רבה' ,1
'המיקום היה מעולה קרוב לכל תחבורה ציבורית שיכולה לקחת אותי לכל אזור באמסטרדם ומחוץ לה   החדר היה מעולה והיה כפי שתואר ואפילו טוב יותר   שירות ניקיון היה יומי ובשעות שלא היינו בחדר ללא שום הפרעה ותיאום  הצק אין וצק אאוט היו מהירים מאוד והשירות היה אדיב ונחמד  למרות שלא הייתי צריך שום דבר מיוחד במשך השהות שלי אני בטוח שאם הייתי צריך היו עוזרים לי מעל המצופה' ,1
'הדבר שהיה חסר לי בחדר זה מיני מקרר  יש חדרים שקצת צפוף' ,0
'השירות החם והאוירה  מיקום נפלא ממש  מקלחת פרטית עם אמבטיה  ממש על הרחוב הראש' ,1
'החדר קטן מאוד מחיר יחסית גבוהה למלון 3 כוכבים מלון ללא מעלית מקשה מאוד על מי שמתארח בקומה האחרונה' ,1
'החדר קטן מאוד מחיר יחסית גבוהה למלון 3 כוכבים מלון ללא מעלית מקשה מאוד על מי שמתארח בקומה האחרונה' ,0
'ארוחת בוקר מצויינת מקום אינטימי מאוד שקט ורגוע המיקום מצויין שווה כל שקל' ,1
'ארוחת הבוקר בהחלט הייתה טובה ועשירה ניתן היה להזמין מהתפריט מבחר של חביתות אומלטים בנוסף היה מבחר יפה של גבינות דגים נקניקיםארוחת בוקר משביעה וטעימה לכל חיך' ,1
'צוות המלון היה אדיב וסבלני לכל שאלה ובקשה  מיקום מעולה מלון אינטימי ונקי' ,1
'מקלחת מצוינת מודרנית ונקיה כך גם החדר  מיטה גדולה ונוחה מאד  מיני בר חפשי ללא תשלום ממלאים בכל יום   חדר מחומם ונעים מעניין איך המיזוג בקיץ וכמובן צוות אדיב שממש עוזר בכל פרט' ,1
'מלון מעוצב בצורה יפה ארוחת בוקר טובה  חדר מרווח' ,1
'עליה לקומות גבוהות מתישה מתקני החדר לא היו תקינים לחלוטין' ,0
'המיקום מושלם ארוחת בוקר מעולה צוות אדיב מלון נקי ונגיש למסעדות חנויות פאבים ובתי קפה' ,1
'אין מיזוג בחדרים אלא רק מאוורר  מיטה זוגית קטנה חדר קטן באופן יחסי' ,0
'מיקום מצוין צוות מאוד אדיב קיבלנו עצות מצוינות חדר נקי ארוחת בוקר טובה' ,1
'מיקום מצוין מלון נחמד מאוד חדרים קטנים פשוטים ונקיים' ,1
'נקי מסודר יחס חם ולבבי בכל שעות היממה  ארוחת בוקר סבירה ביותר ביחס לאירופה  חדרים קטנים מעט אבל המיקום מפצה על כך בגדול' ,1
'המלון ממוקם בשכונה נעימה וכייפית המלון נקי מאוד ומסודר הצוות היה מסביר פנים וסייע בכל בקשה  מאוד נהננו מהשהייה במלון' ,1
'הרבה מדרגות ארוחת בוקר סתנדרתית מינוס  אין אינטרנט  איו ארוחת בוקר  לא היה עוד כריות ושמיכות' ,0
'מקלחת מעולה ומטה מאוד נוחה' ,1
'חדר גדול  אחלה של מיקום  צוות שקט מקצועי ונוח  מיטה ענקית' ,1
'הדירה בקומה שלישית עליה במדרגות צרות ותלולות לא מתאימה לאנשים מבוגרים' ,0
'דירה יוקרתית מאובזרת בצורה מושלמת מרווחת מודרנית' ,1
'נוף מדהים לנהר ולעירמעבורת לצד השני של העיר 247 חינםחדרים יפים ונוחים' ,1
'נוף מהחדר מיטה וארוחת הבוקר  מקום תוסס מזמין מלא חיים מפנק מאד' ,1
'מיזוג על קירור גרוע ביותר  חיישני האור במקלחת טעונים שיפור' ,0
'מלון מדהים צוות מדהים צעיר ורענן  עיצוב ניקיון אדיבות' ,1
'חדר קטן מאוד אין שולחן ואין כסא  אין קומקום בחדר לקפה' ,0
'אין טיפת התחשבות מהמלון על טיסות מאוחרות   נאלצנו להיות מהבוקר ועד הערב בלי חדר ובלי פרטיות   שביקשנו לעזוב קצת יותר מאוחר דרשו על כך 70 יורו   מה שגרם לנו לכעס רב' ,0
'מיקום מצוין צוות מאוד אדיב קיבלנו עצות מצוינות חדר נקי ארוחת בוקר טובה' ,1
'יש פינת קפה ושוקו חינם לכולם וצוות מצויין מלון נקי מאוד ובאזור שקט ונעים' ,1
'המלון היה מעולה נראה חדש נקי אווירה טובה מאוד קרוב מאוד לתחנת רכבת ובמרחק תחנה אחת ברכבת לאמסטרדם סנטרל ארוחות הבוקר היו מעולות' ,1
'ממליצה בחום על המלון 5 דקות הליכה מתחנת הרכבת ומשם 5 דקות נסיעה למרכז אמסטרדם  תחנה אחת  ארוחת הבוקר הייתה טובה מאוד' ,1
'מלון במיקום מצוין  5 דקות הליכה מתחנת רכבת  משם תחנה אחת בלבד לתחנה מרכזית אמסטרדם 5 דקות נסיעה  מלון שקט  מעוצב להפליא  בר שפתוח בערב ועוד  הצוות נעים ועוזר בכל דבר  תמורה טובה למחיר' ,1
'מלון מצוין נקי מסודר צוות מקסים ויעיל פינוקים חלוקי אמבטיה נעלי בית סבונים קטנים קפהתה 24 שעות ביממה ממוקם מול תחנת הרכבתאוטובוסיםטראם מרחק 15 דקות ממרכז העיר' ,1
'ארוחת הבוקר טובה ומגוונת קפה חופשי ועוגות לאורך כל היום לובי נעים ומרווח תחבורה נוחה למרכז אמסטרדם ע"י רכבת' ,1
'המלון מעוצב מקסים אווירה אינטימית ונעימה החדרים מרווחים ומקסימים הצוות אדיב  היה תענוג' ,1
'האיזור הנוף משעמם  איזור עסקים בלי שום דבר באמת לראות בנוסף אין לטלוויזיה ערוצים מהנים לצפייה רובם חדשות' ,0
